CCN,Facility,Street,City,State,ZIP,Transplant Program Type Code,Transplant Program Type,Original Participation Date,Effective Date,Program Recertification Date,OPTN Code,Original Program?
019800,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AHL,Adult Heart Lung,1/14/2009,1/14/2009,8/1/2008,ALUA,N
019800,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AHO,Adult Heart Only,7/9/2009,7/9/2009,8/1/2008,ALUA,N
019800,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AKO,Adult Kidney Only,7/9/2009,7/9/2009,8/1/2008,ALUA,N
019800,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,ALI,Adult Liver Only,7/9/2009,7/9/2009,8/1/2008,ALUA,N
019800,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,ALO,Adult Lung Only,1/14/2009,1/14/2009,8/1/2008,ALUA,N
019800,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,APA,Adult Pancreas,12/11/2008,12/11/2008,8/1/2008,ALUA,N
019801,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,PHO,Pediatric Heart Only,6/21/2013,6/21/2013,5/1/2013,ALCH,N
019801,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,PKO,Pediatric Kidney Only,6/21/2013,6/21/2013,5/1/2013,ALCH,N
019801,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,PLI,Pediatric Liver,6/21/2013,6/21/2013,5/1/2013,ALCH,N
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AHO,Adult Heart Only,10/17/1986,7/24/2009,6/22/2022,AZUA,Y
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AHO,Adult Heart Only,7/24/2009,7/24/2009,6/22/2022,AZUA,N
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AKO,Adult Kidney Only,8/12/1977,10/16/2008,6/22/2022,AZUA,Y
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,ALI,Adult Liver Only,3/16/2005,10/16/2008,6/22/2022,AZUA,Y
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,ALI,Adult Liver Only,10/16/2008,10/16/2008,6/22/2022,AZUA,N
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,ALO,Adult Lung Only,8/12/1977,10/16/2008,6/22/2022,AZUA,Y
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,ALO,Adult Lung Only,4/28/2016,4/28/2016,6/22/2022,AZUA,N
039800,BANNER UNIVERSITY MEDICAL CTR AT THE AZ HEALTH SC,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,APA,Adult Pancreas,8/12/1977,10/16/2008,6/22/2022,AZUA,Y
